p2t3,C,2015-03-28

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.026,350.000,150.000,351.000,147.000,0,0,13,400,0.000,0.509,0.543,0.396,pokes
1,3.040,293.653,541.899,295.000,540.000,0,0,13,400,0.000,0.144,0.543,0.326,owed
2,4.481,458.128,181.749,458.000,184.000,0,0,13,400,0.000,0.164,0.561,0.332,grail
3,6.433,198.850,480.972,198.000,481.000,0,0,13,400,0.000,0.509,0.502,0.400,female
4,7.896,531.926,266.917,534.000,265.000,0,0,13,400,0.000,0.185,0.501,0.309,rakes
5,9.982,152.036,378.463,149.000,382.000,0,0,13,400,0.000,0.164,0.522,0.380,female
6,11.752,547.964,378.463,546.000,382.000,0,0,13,400,0.000,0.185,0.623,0.267,hair
7,13.441,168.074,266.917,166.000,267.000,0,0,13,400,0.000,0.205,0.546,1.722,physics
8,15.044,501.150,480.972,505.000,483.000,0,0,13,400,0.000,0.245,0.543,0.479,ruins
9,17.674,241.872,181.749,243.000,182.000,0,0,13,400,0.000,0.205,0.562,0.204,male
10,19.653,406.347,541.899,408.000,543.000,0,0,13,400,0.000,0.246,0.562,0.264,rich
11,21.152,350.000,150.000,351.000,153.000,0,0,13,400,0.000,0.266
