p2t5,B,2015-03-28

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.854,350.000,150.000,346.000,150.000,0,0,27,400,0.000,0.000,0.563,0.461,avenue
1,2.147,293.653,541.899,296.000,539.000,0,0,27,400,0.000,0.245,0.542,0.564,flower
2,3.445,458.128,181.749,463.000,174.000,0,0,27,400,0.000,0.164,0.542,0.330,quest
3,4.927,198.850,480.972,200.000,473.000,0,0,27,400,0.000,0.104,0.649,1.597,favorite
4,6.368,531.926,266.917,525.000,273.000,0,0,27,400,0.000,0.204,0.701,0.969,coffee
5,7.993,152.036,378.463,156.000,384.000,0,0,27,400,0.000,0.225,0.563,0.609,physics
6,9.309,547.964,378.463,550.000,377.000,0,0,27,400,0.000,0.245,0.540,0.287,today
7,10.625,168.074,266.917,160.000,269.000,0,0,27,400,0.000,0.367,0.517,0.336,gates
8,12.151,501.150,480.972,509.000,489.000,0,0,27,400,0.000,0.185,0.583,0.220,you
9,13.483,241.872,181.749,246.000,181.000,0,0,27,400,0.000,0.347,0.542,0.417,rails
10,15.024,406.347,541.899,407.000,547.000,0,0,27,400,0.000,0.225,0.562,0.350,lairs
11,16.218,350.000,150.000,344.000,159.000,0,0,27,400,0.000,0.225
