p2t7,A,2015-03-28

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.243,350.000,150.000,349.000,147.000,0,0,57,400,0.000,0.469,0.521,0.963,friend
1,1.376,293.653,541.899,294.000,532.000,0,0,57,400,0.000,0.042,0.541,1.018,trays
2,2.464,458.128,181.749,460.000,182.000,0,0,57,400,0.000,0.245,0.522,0.246,hair
3,3.533,198.850,480.972,213.000,461.000,0,0,57,400,0.000,0.205,0.523,0.437,avenue
4,4.579,531.926,266.917,533.000,275.000,0,0,57,400,0.000,0.287,0.547,0.376,candle
5,5.687,152.036,378.463,172.000,383.000,0,0,57,400,0.000,0.205,0.543,0.625,computer
6,6.692,547.964,378.463,547.000,364.000,0,0,57,400,0.000,0.104,0.562,0.554,schools
7,7.782,168.074,266.917,164.000,278.000,0,0,57,400,0.000,0.244,0.542,0.464,please
8,8.832,501.150,480.972,500.000,477.000,0,0,57,400,0.000,0.145,0.481,0.378,candle
9,9.921,241.872,181.749,252.000,207.000,0,0,57,400,0.000,0.225,0.542,0.485,napkin
10,11.361,406.347,541.899,412.000,538.000,0,0,57,400,0.000,0.306,0.503,0.352,bring
11,12.492,350.000,150.000,335.000,155.000,0,0,57,400,0.000,0.245
