p20t3,B,2015-04-04

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.239,350.000,150.000,355.000,149.000,0,0,27,400,0.000,1.686,0.835,0.771,please
1,2.865,293.653,541.899,291.000,541.000,0,0,27,400,0.000,0.347,0.731,0.341,him
2,4.432,458.128,181.749,460.000,189.000,0,0,27,400,0.000,0.529,0.745,0.538,paper
3,6.145,198.850,480.972,199.000,478.000,0,0,27,400,0.000,0.266,0.664,0.787,rails
4,7.603,531.926,266.917,527.000,264.000,0,0,27,400,0.000,0.347,0.664,0.961,coffee
5,8.982,152.036,378.463,158.000,377.000,0,0,27,400,0.000,0.266,0.648,0.492,tree
6,10.444,547.964,378.463,548.000,372.000,0,0,27,400,0.000,0.346,0.770,0.340,him
7,11.917,168.074,266.917,176.000,273.000,0,0,27,400,0.000,0.408,0.669,0.699,cafe
8,14.666,501.150,480.972,495.000,462.000,1,0,27,400,6.944,0.447,0.709,1.565,college
9,16.167,241.872,181.749,241.000,186.000,0,0,27,400,0.000,0.407,0.709,0.968,trail
10,17.734,406.347,541.899,405.000,545.000,0,0,27,400,0.000,0.428,0.684,1.242,trail
11,20.790,350.000,150.000,350.000,148.000,0,1,27,400,0.000,0.549
