p20t6,C,2015-04-04

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.225,350.000,150.000,352.000,147.000,0,0,13,400,0.000,0.874,0.644,1.212,gates
1,1.856,293.653,541.899,297.000,542.000,0,0,13,400,0.000,0.225,0.810,0.971,towel
2,3.129,458.128,181.749,462.000,184.000,0,0,13,400,0.000,0.448,0.543,1.020,avenue
3,4.613,198.850,480.972,202.000,481.000,0,0,13,400,0.000,0.245,0.730,0.239,her
4,5.992,531.926,266.917,534.000,268.000,0,0,13,400,0.000,0.307,0.648,0.254,you
5,7.579,152.036,378.463,151.000,378.000,0,0,13,400,0.000,0.449,0.562,0.594,owed
6,9.205,547.964,378.463,553.000,378.000,0,0,13,400,0.000,0.368,0.770,0.931,plows
7,10.959,168.074,266.917,171.000,271.000,0,0,13,400,0.000,0.165,0.608,1.343,thorn
8,12.871,501.150,480.972,503.000,478.000,0,0,13,400,0.000,0.407,0.562,0.895,watch
9,14.700,241.872,181.749,241.000,183.000,0,0,13,400,0.000,0.427,0.613,0.806,chair
10,16.163,406.347,541.899,405.000,542.000,0,0,13,400,0.000,0.265,0.624,2.219,plead
11,18.179,350.000,150.000,352.000,151.000,0,0,13,400,0.000,0.287
