p25m2,B,2015-04-09

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.105,350.000,150.000,353.000,153.000,0,0,27,400,0.000,0.286,0.891,0.305,play
1,1.806,293.653,541.899,293.000,536.000,0,0,27,400,0.000,0.651,0.746,0.632,napkin
2,2.699,458.128,181.749,463.000,185.000,0,0,27,400,0.000,0.407,0.684,0.303,cafe
3,3.590,198.850,480.972,197.000,481.000,0,0,27,400,0.000,0.286,0.810,0.562,tissue
4,4.667,531.926,266.917,533.000,268.000,0,0,27,400,0.000,0.509,0.952,0.436,slaps
5,5.455,152.036,378.463,152.000,378.000,0,0,27,400,0.000,0.408,0.608,0.675,favorite
6,6.220,547.964,378.463,545.000,381.000,0,0,27,400,0.000,0.347,0.547,0.433,watch
7,7.132,168.074,266.917,163.000,271.000,0,0,27,400,0.000,0.590,0.749,0.391,lairs
8,7.961,501.150,480.972,503.000,485.000,0,0,27,400,0.000,0.529,0.771,0.306,hair
9,8.891,241.872,181.749,240.000,180.000,0,0,27,400,0.000,0.549,0.643,0.417,rakes
10,9.655,406.347,541.899,405.000,543.000,0,0,27,400,0.000,0.469,0.670,0.543,flower
11,10.747,350.000,150.000,349.000,150.000,0,0,27,400,0.000,0.367
