p25m3,A,2015-04-09

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.720,350.000,150.000,350.000,151.000,0,0,57,400,0.000,1.199,0.783,1.562,avenue
1,1.652,293.653,541.899,301.000,537.000,0,0,57,400,0.000,0.793,0.773,0.568,printer
2,2.295,458.128,181.749,460.000,186.000,0,0,57,400,0.000,0.327,0.650,0.263,male
3,2.834,198.850,480.972,193.000,471.000,0,0,57,400,0.000,0.386,0.524,0.501,candle
4,3.541,531.926,266.917,533.000,277.000,0,0,57,400,0.000,0.408,0.729,1.045,college
5,4.226,152.036,378.463,156.000,370.000,0,0,57,400,0.000,0.245,0.668,0.595,made
6,4.872,547.964,378.463,554.000,377.000,0,0,57,400,0.000,0.306,0.685,0.380,grail
7,5.619,168.074,266.917,171.000,266.000,0,0,57,400,0.000,0.489,0.610,0.585,google
8,6.472,501.150,480.972,499.000,482.000,0,0,57,400,0.000,0.366,0.689,0.567,kettle
9,7.136,241.872,181.749,247.000,185.000,0,0,57,400,0.000,0.368,0.709,0.372,lairs
10,7.946,406.347,541.899,397.000,541.000,0,0,57,400,0.000,0.449,0.689,0.514,door
11,8.777,350.000,150.000,350.000,154.000,0,0,57,400,0.000,0.245
