p26f2,B,None,2015-04-10

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,2.298,350.000,150.000,253.000,684.000,1,0,27,400,529.738,1.848,1.231,0.481,lairs
1,3.383,293.653,541.899,300.000,535.000,0,1,27,400,0.000,0.671,1.633,0.506,lairs
2,4.527,458.128,181.749,466.000,179.000,0,1,27,400,0.000,0.631,0.439,1.110,smart
3,5.856,198.850,480.972,202.000,489.000,0,1,27,400,0.000,0.446,0.875,0.534,grail
4,7.246,531.926,266.917,528.000,271.000,0,1,27,400,0.000,0.311,0.959,0.298,made
5,8.347,152.036,378.463,147.000,384.000,0,1,27,400,0.000,0.552,1.288,1.760,yahoo
6,9.451,547.964,378.463,547.000,379.000,0,1,27,400,0.000,0.373,1.055,0.388,flick
7,10.805,168.074,266.917,171.000,274.000,0,1,27,400,0.000,0.412,0.733,0.474,friend
8,11.746,501.150,480.972,495.000,476.000,0,1,27,400,0.000,0.388,1.015,0.746,agree
9,12.930,241.872,181.749,238.000,172.000,0,1,27,400,0.000,0.432,1.444,0.589,mouse
10,14.258,406.347,541.899,408.000,538.000,0,1,27,400,0.000,0.451,0.481,1.017,lairs
11,15.076,350.000,150.000,348.000,149.000,0,1,27,400,0.000,1.119
