p3f6,A,None,2015-03-29

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.518,350.000,150.000,349.000,164.000,0,1,57,400,0.000,0.792,0.959,2.584,chair
1,2.903,293.653,541.899,287.000,548.000,0,1,57,400,0.000,0.207,1.117,0.832,rails
2,4.031,458.128,181.749,470.000,179.000,0,1,57,400,0.000,0.351,1.158,1.035,ruins
3,5.133,198.850,480.972,197.000,484.000,0,1,57,400,0.000,0.228,1.074,4.600,friend
4,6.686,531.926,266.917,519.000,256.000,0,1,57,400,0.000,1.928,1.231,2.338,pokes
5,7.603,152.036,378.463,139.000,387.000,0,1,57,400,0.000,0.331,1.157,1.171,never
6,9.911,547.964,378.463,519.000,369.000,1,1,57,400,2.471,0.207,1.243,2.046,flower
7,10.918,168.074,266.917,188.000,254.000,0,1,57,400,0.000,0.203,1.261,0.893,smart
8,12.244,501.150,480.972,500.000,476.000,0,1,57,400,0.000,0.350,1.015,0.633,pails
9,12.979,241.872,181.749,231.000,179.000,0,1,57,400,0.000,0.267,1.081,0.969,kettle
10,14.431,406.347,541.899,402.000,568.000,0,1,57,400,0.000,0.209,1.217,0.566,gates
11,15.186,350.000,150.000,363.000,136.000,0,1,57,400,0.000,0.249
