p3f6,C,None,2015-03-29

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.818,350.000,150.000,353.000,149.000,0,1,13,400,0.000,3.939,0.866,2.108,computer
1,3.737,293.653,541.899,293.000,538.000,0,1,13,400,0.000,0.351,1.897,4.490,ruins
2,6.885,458.128,181.749,460.000,187.000,0,1,13,400,0.000,0.145,1.074,5.344,street
3,9.520,198.850,480.972,197.000,486.000,0,1,13,400,0.000,0.269,0.996,1.323,street
4,13.177,531.926,266.917,536.000,261.000,1,1,13,400,1.184,1.301,1.363,2.279,rakes
5,14.548,152.036,378.463,154.000,379.000,0,1,13,400,0.000,0.288,1.355,1.538,favorite
6,16.139,547.964,378.463,549.000,376.000,0,1,13,400,0.000,0.411,0.989,0.892,ruins
7,17.754,168.074,266.917,171.000,266.000,0,1,13,400,0.000,0.165,1.033,1.662,physics
8,20.223,501.150,480.972,502.000,479.000,0,1,13,400,0.000,0.492,1.102,0.545,gates
9,22.494,241.872,181.749,244.000,179.000,0,1,13,400,0.000,0.247,1.015,1.387,napkin
10,26.492,406.347,541.899,408.000,543.000,0,1,13,400,0.000,0.269,1.094,1.883,backpack
11,29.782,350.000,150.000,349.000,154.000,0,1,13,400,0.000,0.125
