p3t8,C,2015-03-29

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.204,350.000,150.000,350.000,145.000,0,0,13,400,0.000,0.651,0.811,1.857,computer
1,1.863,293.653,541.899,292.000,540.000,0,0,13,400,0.000,0.509,1.980,0.747,table
2,3.157,458.128,181.749,459.000,181.000,0,0,13,400,0.000,0.407,0.831,1.478,loose
3,4.329,198.850,480.972,204.000,479.000,0,0,13,400,0.000,0.387,0.871,0.930,kills
4,5.827,531.926,266.917,531.000,266.000,0,0,13,400,0.000,0.651,0.830,1.956,loose
5,7.730,152.036,378.463,156.000,379.000,0,0,13,400,0.000,0.042,0.892,2.077,trays
6,9.064,547.964,378.463,552.000,375.000,0,0,13,400,0.000,0.387,0.851,2.771,watch
7,10.832,168.074,266.917,454.000,294.000,1,0,13,400,281.206,0.001,1.351,1.300,chair
8,12.433,501.150,480.972,502.000,480.000,0,0,13,400,0.000,0.408,0.750,0.957,street
9,14.751,241.872,181.749,243.000,184.000,0,0,13,400,0.000,0.509,0.851,2.361,today
10,17.298,406.347,541.899,405.000,542.000,0,0,13,400,0.000,0.630,1.123,1.124,tissue
11,18.879,350.000,150.000,351.000,153.000,0,0,13,400,0.000,0.509
