p4f5,B,None,2015-03-29

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.573,350.000,150.000,368.000,205.000,1,0,27,400,44.871,0.004,4.385,2.752,slaps
1,3.477,293.653,541.899,285.000,540.000,0,1,27,400,0.000,1.995,2.429,4.088,backpack
2,5.952,458.128,181.749,453.000,184.000,0,1,27,400,0.000,1.035,1.760,0.751,slaps
3,11.248,198.850,480.972,203.000,484.000,0,1,27,400,0.000,1.868,1.301,0.377,hair
4,13.128,531.926,266.917,534.000,266.000,0,1,27,400,0.000,1.120,1.344,0.340,rich
5,14.684,152.036,378.463,150.000,374.000,0,1,27,400,0.000,0.999,1.521,6.488,garbage
6,16.154,547.964,378.463,541.000,382.000,0,1,27,400,0.000,0.896,4.326,7.292,physics
7,17.336,168.074,266.917,174.000,274.000,0,1,27,400,0.000,0.958,2.224,2.369,google
8,21.352,501.150,480.972,494.000,474.000,0,1,27,400,0.000,0.836,1.860,2.633,rails
9,22.495,241.872,181.749,252.000,179.000,0,1,27,400,0.000,0.975,3.904,1.965,agree
10,25.297,406.347,541.899,419.000,540.000,0,1,27,400,0.000,1.019,2.401,2.107,chair
11,26.849,350.000,150.000,355.000,154.000,0,1,27,400,0.000,1.745
