p4t2,A,2015-03-29

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.254,350.000,150.000,357.000,150.000,0,0,57,400,0.000,1.887,1.203,0.844,bring
1,3.830,293.653,541.899,301.000,531.000,0,0,57,400,0.000,0.894,1.039,0.890,gates
2,5.398,458.128,181.749,454.000,192.000,0,0,57,400,0.000,0.711,1.735,1.016,yahoo
3,7.019,198.850,480.972,201.000,471.000,0,0,57,400,0.000,0.366,1.038,0.387,hair
4,8.354,531.926,266.917,543.000,257.000,0,0,57,400,0.000,0.712,1.078,0.552,made
5,9.771,152.036,378.463,168.000,358.000,0,0,57,400,0.000,0.265,0.911,0.614,tree
6,11.549,547.964,378.463,567.000,372.000,0,0,57,400,0.000,0.428,0.977,0.645,woods
7,13.031,168.074,266.917,157.000,265.000,0,0,57,400,0.000,0.791,1.674,0.721,melon
8,15.307,501.150,480.972,480.000,461.000,1,0,57,400,1.090,0.549,0.952,0.744,flick
9,17.218,241.872,181.749,251.000,184.000,0,0,57,400,0.000,0.488,1.219,0.869,snare
10,18.879,406.347,541.899,431.000,545.000,0,0,57,400,0.000,0.509,1.286,0.486,cafe
11,20.271,350.000,150.000,338.000,173.000,0,0,57,400,0.000,0.570
