p4t8,B,2015-03-29

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.265,350.000,150.000,354.000,161.000,0,0,27,400,0.000,1.117,1.139,3.955,tissue
1,2.277,293.653,541.899,301.000,537.000,0,0,27,400,0.000,0.001,0.871,0.870,please
2,4.026,458.128,181.749,459.000,189.000,0,0,27,400,0.000,0.428,0.965,0.558,watch
3,6.429,198.850,480.972,206.000,484.000,0,0,27,400,0.000,0.732,0.993,1.844,coffee
4,7.846,531.926,266.917,531.000,269.000,0,0,27,400,0.000,0.651,1.365,0.597,rakes
5,11.993,152.036,378.463,139.000,382.000,1,0,27,400,0.507,0.446,0.770,0.448,cafe
6,13.495,547.964,378.463,541.000,373.000,0,0,27,400,0.000,0.508,1.017,0.929,apple
7,15.836,168.074,266.917,168.000,267.000,0,0,27,400,0.000,0.732,1.008,1.557,street
8,18.622,501.150,480.972,501.000,484.000,0,0,27,400,0.000,0.001,0.951,0.818,avenue
9,19.893,241.872,181.749,254.000,183.000,0,0,27,400,0.000,1.806,1.038,0.933,napkin
10,21.519,406.347,541.899,409.000,548.000,0,0,27,400,0.000,0.549,1.017,1.076,rails
11,24.717,350.000,150.000,363.000,148.000,1,0,27,400,0.153,0.833
