p7f3,A,None,2015-03-29

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,2.657,350.000,150.000,571.000,668.000,1,0,57,400,535.174,1.263,1.737,1.349,tissue
1,3.640,293.653,541.899,300.000,553.000,0,1,57,400,0.000,0.936,0.994,2.204,female
2,5.238,458.128,181.749,471.000,192.000,0,1,57,400,0.000,0.512,1.360,2.823,center
3,6.775,198.850,480.972,205.000,489.000,0,1,57,400,0.000,0.941,1.733,0.976,melon
4,8.000,531.926,266.917,528.000,271.000,0,1,57,400,0.000,0.756,1.778,0.192,her
5,8.999,152.036,378.463,161.000,384.000,0,1,57,400,0.000,0.795,1.526,1.081,flick
6,9.939,547.964,378.463,540.000,394.000,0,1,57,400,0.000,0.632,1.819,1.001,hinge
7,12.960,168.074,266.917,166.000,256.000,0,1,57,400,0.000,0.612,1.856,0.895,female
8,13.940,501.150,480.972,502.000,492.000,0,1,57,400,0.000,1.325,1.721,0.912,flick
9,16.025,241.872,181.749,265.000,182.000,0,1,57,400,0.000,1.399,3.717,3.466,flick
10,16.757,406.347,541.899,413.000,527.000,0,1,57,400,0.000,0.452,1.262,5.196,garbage
11,18.186,350.000,150.000,363.000,141.000,0,1,57,400,0.000,0.835
