p1t2,A,2015-03-26

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.202,350.000,150.000,359.000,147.000,0,0,57,400,0.000,0.793,0.749,3.543,restaurant
1,3.304,293.653,541.899,297.000,530.000,0,0,57,400,0.000,0.001,0.664,0.928,backpack
2,4.497,458.128,181.749,452.000,197.000,0,0,57,400,0.000,0.589,0.603,0.263,male
3,5.792,198.850,480.972,207.000,472.000,0,0,57,400,0.000,0.406,0.608,0.173,you
4,7.378,531.926,266.917,529.000,274.000,0,0,57,400,0.000,0.489,0.663,3.287,restaurant
5,9.022,152.036,378.463,170.000,373.000,0,0,57,400,0.000,0.022,0.771,0.667,female
6,10.519,547.964,378.463,544.000,377.000,0,0,57,400,0.000,0.468,0.624,1.239,speakers
7,11.962,168.074,266.917,168.000,258.000,0,0,57,400,0.000,0.387,0.643,0.920,fingers
8,13.300,501.150,480.972,501.000,479.000,0,0,57,400,0.000,0.468,0.603,0.435,woods
9,14.696,241.872,181.749,261.000,189.000,0,0,57,400,0.000,0.529,0.628,0.604,kettle
10,15.952,406.347,541.899,408.000,528.000,0,0,57,400,0.000,0.469,0.603,0.756,street
11,17.754,350.000,150.000,356.000,151.000,0,0,57,400,0.000,0.143
