p3f5,A,None,2015-03-29

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.470,350.000,150.000,351.000,138.000,0,1,57,400,0.000,5.031,1.222,0.932,bring
1,6.189,293.653,541.899,293.000,527.000,0,1,57,400,0.000,0.329,2.194,1.176,woods
2,6.987,458.128,181.749,472.000,174.000,0,1,57,400,0.000,0.389,0.932,1.051,rusty
3,8.115,198.850,480.972,195.000,489.000,0,1,57,400,0.000,0.653,1.735,1.628,jewel
4,9.158,531.926,266.917,521.000,256.000,0,1,57,400,0.000,0.450,0.971,0.815,hinge
5,10.076,152.036,378.463,154.000,399.000,0,1,57,400,0.000,0.290,1.119,0.814,hinge
6,10.973,547.964,378.463,547.000,374.000,0,1,57,400,0.000,0.267,1.019,0.765,rich
7,12.057,168.074,266.917,167.000,264.000,0,1,57,400,0.000,0.127,1.033,1.160,snare
8,13.119,501.150,480.972,489.000,481.000,0,1,57,400,0.000,0.388,0.778,4.197,schools
9,14.078,241.872,181.749,225.000,179.000,0,1,57,400,0.000,0.208,1.257,5.973,lairs
10,16.897,406.347,541.899,400.000,556.000,0,1,57,400,0.000,0.270,1.174,0.895,bring
11,17.815,350.000,150.000,342.000,146.000,0,1,57,400,0.000,0.369
