julianTestMFLT,A,2014-09-01

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.983,350.000,150.000,355.000,142.000,0,0,57,400,0.000,0.637,1.117,7.397,mouse
1,2.006,293.653,541.899,295.000,531.000,0,0,57,400,0.000,2.315,1.401,6.571,mouse
2,2.821,458.128,181.749,476.000,202.000,0,0,57,400,0.000,2.029,1.117,0.457,bring
3,3.796,198.850,480.972,217.000,480.000,0,0,57,400,0.000,3.579,8.958,10.654,towel
4,4.497,531.926,266.917,524.000,284.000,0,0,57,400,0.000,1.851,6.534,0.454,gates
5,5.142,152.036,378.463,163.000,382.000,0,1,57,400,0.000,0.942,0.846,0.948,pittsburgh
6,5.731,547.964,378.463,552.000,374.000,0,0,57,400,0.000,0.555,0.753,0.215,him
7,6.303,168.074,266.917,174.000,263.000,0,0,57,400,0.000,0.713,0.715,1.107,suitcase
8,7.198,501.150,480.972,493.000,466.000,0,0,57,400,0.000,0.529,0.727,2.306,government
9,7.787,241.872,181.749,233.000,185.000,0,0,57,400,0.000,0.645,0.847,0.332,bring
10,8.714,406.347,541.899,438.000,545.000,1,0,57,400,3.805,0.470,0.681,0.656,college
11,9.311,350.000,150.000,358.000,156.000,0,0,57,400,0.000,0.418
