p13test,A,2015-03-03

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,16.585,350.000,150.000,192.000,671.000,1,0,57,400,516.431,8.466,0.000,0.000,N/A
1,20.982,293.653,541.899,351.000,164.000,1,0,57,400,354.225,0.000,0.000,0.000,N/A
2,22.581,458.128,181.749,491.000,177.000,1,0,57,400,5.213,0.000,0.000,0.000,N/A
3,23.893,198.850,480.972,196.000,471.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
4,25.289,531.926,266.917,581.000,246.000,1,0,57,400,25.345,0.000,0.000,0.000,N/A
5,26.462,152.036,378.463,146.000,379.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
6,27.773,547.964,378.463,541.000,358.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
7,29.225,168.074,266.917,167.000,284.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
8,30.601,501.150,480.972,505.000,471.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
9,31.951,241.872,181.749,243.000,197.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
10,33.423,406.347,541.899,408.000,535.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
11,34.858,350.000,150.000,347.000,156.000,0,0,57,400,0.000,0.000
