p9a1,A,None,2015-03-21

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,2.432,350.000,150.000,344.000,156.000,0,1,57,400,0.000,0.003,1.494,1.874,table
1,4.598,293.653,541.899,297.000,540.000,0,1,57,400,0.000,0.817,0.359,2.514,government
2,5.319,458.128,181.749,462.000,184.000,0,1,57,400,0.000,0.307,0.645,0.797,female
3,6.279,198.850,480.972,203.000,484.000,0,1,57,400,0.000,0.655,0.849,0.877,sheets
4,7.261,531.926,266.917,528.000,269.000,0,1,57,400,0.000,1.240,0.952,1.484,carnegie
5,15.694,152.036,378.463,163.000,379.000,0,1,57,400,0.000,1.953,1.246,0.586,towel
6,16.470,547.964,378.463,541.000,382.000,0,1,57,400,0.000,0.577,0.747,0.899,flower
7,17.515,168.074,266.917,176.000,269.000,0,1,57,400,0.000,0.614,1.077,2.492,kettle
8,18.374,501.150,480.972,500.000,471.000,0,1,57,400,0.000,0.612,0.868,0.419,male
9,19.789,241.872,181.749,248.000,187.000,0,1,57,400,0.000,0.556,1.379,2.635,candle
10,22.299,406.347,541.899,410.000,533.000,0,1,57,400,0.000,0.573,0.728,0.652,woods
11,23.215,350.000,150.000,349.000,159.000,0,1,57,400,0.000,0.531
