p9t4,C,None,2015-03-21

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.309,350.000,150.000,351.000,151.000,0,0,13,400,0.000,1.683,1.205,0.462,male
1,2.932,293.653,541.899,295.000,535.000,1,1,13,400,1.029,0.288,0.749,0.629,mouse
2,4.161,458.128,181.749,460.000,182.000,0,1,13,400,0.000,0.467,0.605,0.482,lamp
3,5.982,198.850,480.972,206.000,479.000,1,1,13,400,1.417,0.168,0.749,2.027,speakers
4,7.331,531.926,266.917,532.000,269.000,0,1,13,400,0.000,0.248,0.171,2.415,computer
5,8.559,152.036,378.463,156.000,379.000,0,1,13,400,0.000,0.290,0.621,0.460,lamp
6,9.761,547.964,378.463,551.000,376.000,0,1,13,400,0.000,0.169,0.688,0.564,melon
7,12.765,168.074,266.917,174.000,269.000,1,1,13,400,0.282,0.210,0.787,0.856,sheets
8,14.177,501.150,480.972,500.000,481.000,0,1,13,400,0.000,0.308,0.850,1.046,college
9,15.507,241.872,181.749,244.000,184.000,0,1,13,400,0.000,0.492,0.722,10.375,government
10,16.899,406.347,541.899,404.000,543.000,0,1,13,400,0.000,0.328,0.752,2.024,university
11,18.390,350.000,150.000,349.000,149.000,0,1,13,400,0.000,0.187
