p9t7,B,None,2015-03-21

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.878,350.000,150.000,353.000,151.000,0,1,27,400,0.000,0.002,0.891,0.814,female
1,2.761,293.653,541.899,295.000,543.000,0,1,27,400,0.000,0.287,0.832,1.773,government
2,3.684,458.128,181.749,464.000,182.000,0,1,27,400,0.000,0.267,0.888,1.860,pittsburgh
3,4.749,198.850,480.972,195.000,481.000,0,1,27,400,0.000,0.266,0.790,1.029,avenue
4,5.793,531.926,266.917,534.000,269.000,0,1,27,400,0.000,0.291,1.112,2.005,scanner
5,6.856,152.036,378.463,152.000,379.000,0,1,27,400,0.000,0.348,0.812,1.368,flower
6,7.675,547.964,378.463,545.000,379.000,0,1,27,400,0.000,0.306,0.711,0.293,him
7,8.676,168.074,266.917,171.000,274.000,0,1,27,400,0.000,0.978,1.033,1.600,speakers
8,9.697,501.150,480.972,511.000,481.000,0,1,27,400,0.000,0.248,0.692,0.872,apple
9,10.662,241.872,181.749,244.000,179.000,0,1,27,400,0.000,0.306,0.695,2.857,keyboard
10,11.666,406.347,541.899,400.000,540.000,0,1,27,400,0.000,0.288,0.622,0.606,melon
11,12.686,350.000,150.000,344.000,156.000,0,1,27,400,0.000,0.168
