p2test,A,2015-02-24

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,3.718,350.000,150.000,351.000,164.000,0,0,57,400,0.000,6.442,0.000,0.000,N/A
1,6.600,293.653,541.899,290.000,533.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
2,7.932,458.128,181.749,437.000,187.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
3,9.424,198.850,480.972,215.000,494.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
4,10.596,531.926,266.917,538.000,271.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
5,11.562,152.036,378.463,157.000,384.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
6,12.593,547.964,378.463,556.000,374.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
7,13.641,168.074,266.917,161.000,274.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
8,14.847,501.150,480.972,502.000,474.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
9,15.892,241.872,181.749,229.000,200.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
10,16.997,406.347,541.899,391.000,540.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
11,18.228,350.000,150.000,355.000,143.000,0,0,57,400,0.000,0.000
