p2test,C,2015-02-24

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.366,350.000,150.000,351.000,154.000,0,0,13,400,0.000,0.002,0.000,0.000,N/A
1,3.209,293.653,541.899,294.000,540.000,0,0,13,400,0.000,0.000,0.000,0.000,N/A
2,5.836,458.128,181.749,455.000,190.000,1,0,13,400,2.824,0.000,0.000,0.000,N/A
3,8.332,198.850,480.972,200.000,481.000,0,0,13,400,0.000,0.000,0.000,0.000,N/A
4,9.949,531.926,266.917,534.000,271.000,0,0,13,400,0.000,0.000,0.000,0.000,N/A
5,14.180,152.036,378.463,161.000,379.000,1,0,13,400,2.980,0.000,0.000,0.000,N/A
6,16.818,547.964,378.463,549.000,379.000,0,0,13,400,0.000,0.000,0.000,0.000,N/A
7,18.495,168.074,266.917,171.000,266.000,0,0,13,400,0.000,0.000,0.000,0.000,N/A
8,20.754,501.150,480.972,502.000,481.000,0,0,13,400,0.000,0.000,0.000,0.000,N/A
9,23.605,241.872,181.749,247.000,187.000,1,0,13,400,1.339,0.000,0.000,0.000,N/A
10,26.281,406.347,541.899,409.000,543.000,0,0,13,400,0.000,0.000,0.000,0.000,N/A
11,30.097,350.000,150.000,355.000,151.000,0,0,13,400,0.000,0.000
