p4test,B,2015-02-25

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.689,350.000,150.000,358.000,149.000,0,0,27,400,0.000,0.022,0.000,0.000,N/A
1,3.815,293.653,541.899,290.000,548.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
2,5.443,458.128,181.749,462.000,187.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
3,7.461,198.850,480.972,207.000,484.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
4,9.151,531.926,266.917,527.000,269.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
5,13.041,152.036,378.463,142.000,374.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
6,14.912,547.964,378.463,549.000,379.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
7,17.220,168.074,266.917,182.000,266.000,1,0,27,400,0.957,0.000,0.000,0.000,N/A
8,20.167,501.150,480.972,502.000,484.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
9,21.499,241.872,181.749,243.000,190.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
10,23.196,406.347,541.899,405.000,538.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
11,24.400,350.000,150.000,344.000,154.000,0,0,27,400,0.000,0.000
