p12test,A,2015-02-28

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,7.409,350.000,150.000,397.000,658.000,1,0,57,400,482.170,17.399,0.000,0.000,N/A
1,10.157,293.653,541.899,300.000,527.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
2,12.363,458.128,181.749,458.000,184.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
3,14.084,198.850,480.972,196.000,481.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
4,15.804,531.926,266.917,530.000,269.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
5,17.489,152.036,378.463,160.000,353.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
6,19.377,547.964,378.463,552.000,369.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
7,20.734,168.074,266.917,174.000,277.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
8,22.130,501.150,480.972,498.000,469.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
9,23.502,241.872,181.749,253.000,172.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
10,24.916,406.347,541.899,415.000,545.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
11,26.107,350.000,150.000,354.000,138.000,0,0,57,400,0.000,0.000
