test,B,2015-02-22

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.752,350.000,150.000,352.000,147.000,0,0,27,400,0.000,0.225,0.000,0.000,N/A
1,4.214,293.653,541.899,294.000,536.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
2,6.288,458.128,181.749,454.000,180.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
3,8.734,198.850,480.972,196.000,480.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
4,10.837,531.926,266.917,532.000,269.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
5,13.639,152.036,378.463,153.000,373.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
6,17.208,547.964,378.463,545.000,379.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
7,19.363,168.074,266.917,165.000,265.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
8,25.381,501.150,480.972,493.000,480.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
9,27.565,241.872,181.749,247.000,183.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
10,29.769,406.347,541.899,403.000,544.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
11,31.384,350.000,150.000,346.000,152.000,0,0,27,400,0.000,0.000
