p9test,B,2015-02-28

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.899,350.000,150.000,351.000,151.000,0,0,27,400,0.000,0.004,0.000,0.000,N/A
1,3.007,293.653,541.899,289.000,540.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
2,4.400,458.128,181.749,455.000,177.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
3,7.422,198.850,480.972,196.000,479.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
4,9.100,531.926,266.917,534.000,269.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
5,10.595,152.036,378.463,142.000,374.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
6,12.131,547.964,378.463,548.000,371.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
7,13.729,168.074,266.917,171.000,269.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
8,15.285,501.150,480.972,498.000,471.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
9,16.695,241.872,181.749,235.000,184.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
10,19.274,406.347,541.899,419.000,533.000,1,0,27,400,2.469,0.000,0.000,0.000,N/A
11,20.790,350.000,150.000,340.000,149.000,0,0,27,400,0.000,0.000
