p1a3,A,2015-02-22

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,2.184,350.000,150.000,358.000,156.000,0,0,57,400,0.000,0.002,0.000,0.000,N/A
1,3.715,293.653,541.899,300.000,550.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
2,4.984,458.128,181.749,469.000,187.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
3,6.256,198.850,480.972,211.000,486.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
4,7.403,531.926,266.917,556.000,261.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
5,8.507,152.036,378.463,149.000,392.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
6,9.879,547.964,378.463,552.000,384.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
7,11.195,168.074,266.917,178.000,284.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
8,12.505,501.150,480.972,495.000,489.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
9,13.816,241.872,181.749,247.000,200.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
10,14.961,406.347,541.899,398.000,548.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
11,16.233,350.000,150.000,347.000,159.000,0,0,57,400,0.000,0.000
