p1r,C,2015-02-22

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,5.402,350.000,150.000,471.000,92.000,1,0,13,400,128.183,2.269,0.000,0.000,N/A
1,9.394,293.653,541.899,291.000,541.000,0,0,13,400,0.000,0.000,0.000,0.000,N/A
2,12.208,458.128,181.749,457.000,186.000,0,0,13,400,0.000,0.000,0.000,0.000,N/A
3,15.264,198.850,480.972,203.000,482.000,0,0,13,400,0.000,0.000,0.000,0.000,N/A
4,17.951,531.926,266.917,531.000,266.000,0,0,13,400,0.000,0.000,0.000,0.000,N/A
5,20.658,152.036,378.463,154.000,374.000,0,0,13,400,0.000,0.000,0.000,0.000,N/A
6,22.660,547.964,378.463,548.000,382.000,0,0,13,400,0.000,0.000,0.000,0.000,N/A
7,25.796,168.074,266.917,168.000,268.000,0,0,13,400,0.000,0.000,0.000,0.000,N/A
8,28.035,501.150,480.972,499.000,478.000,0,0,13,400,0.000,0.000,0.000,0.000,N/A
9,30.723,241.872,181.749,243.000,179.000,0,0,13,400,0.000,0.000,0.000,0.000,N/A
10,33.048,406.347,541.899,409.000,541.000,0,0,13,400,0.000,0.000,0.000,0.000,N/A
11,35.144,350.000,150.000,355.000,149.000,0,0,13,400,0.000,0.000
