p12a7,B,2015-02-28

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.348,350.000,150.000,351.000,146.000,0,0,27,400,0.000,0.004,0.000,0.000,N/A
1,2.764,293.653,541.899,289.000,543.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
2,4.276,458.128,181.749,458.000,179.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
3,5.486,198.850,480.972,203.000,474.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
4,6.734,531.926,266.917,530.000,269.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
5,8.043,152.036,378.463,153.000,374.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
6,9.414,547.964,378.463,548.000,379.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
7,10.909,168.074,266.917,164.000,266.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
8,12.141,501.150,480.972,498.000,486.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
9,13.679,241.872,181.749,235.000,184.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
10,15.093,406.347,541.899,397.000,540.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
11,16.817,350.000,150.000,354.000,154.000,0,0,27,400,0.000,0.000
