p13a7,C,2015-03-03

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.195,350.000,150.000,343.000,625.000,1,0,13,400,469.052,1.136,0.000,0.000,N/A
1,2.341,293.653,541.899,293.000,543.000,0,0,13,400,0.000,0.000,0.000,0.000,N/A
2,3.610,458.128,181.749,455.000,182.000,0,0,13,400,0.000,0.000,0.000,0.000,N/A
3,7.009,198.850,480.972,203.000,476.000,1,0,13,400,0.476,0.000,0.000,0.000,N/A
4,8.725,531.926,266.917,527.000,269.000,0,0,13,400,0.000,0.000,0.000,0.000,N/A
5,9.851,152.036,378.463,156.000,379.000,0,0,13,400,0.000,0.000,0.000,0.000,N/A
6,11.344,547.964,378.463,545.000,376.000,0,0,13,400,0.000,0.000,0.000,0.000,N/A
7,12.571,168.074,266.917,167.000,266.000,0,0,13,400,0.000,0.000,0.000,0.000,N/A
8,13.704,501.150,480.972,498.000,481.000,0,0,13,400,0.000,0.000,0.000,0.000,N/A
9,14.951,241.872,181.749,246.000,184.000,0,0,13,400,0.000,0.000,0.000,0.000,N/A
10,16.124,406.347,541.899,408.000,540.000,0,0,13,400,0.000,0.000,0.000,0.000,N/A
11,17.411,350.000,150.000,351.000,151.000,0,0,13,400,0.000,0.000
