p4r4,B,2015-02-26

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.441,350.000,150.000,351.000,154.000,0,0,27,400,0.000,0.186,0.000,0.000,N/A
1,3.318,293.653,541.899,288.000,546.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
2,5.134,458.128,181.749,458.000,176.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
3,7.318,198.850,480.972,205.000,480.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
4,9.515,531.926,266.917,527.000,260.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
5,11.332,152.036,378.463,150.000,377.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
6,13.469,547.964,378.463,542.000,379.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
7,15.793,168.074,266.917,164.000,271.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
8,17.850,501.150,480.972,495.000,480.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
9,19.825,241.872,181.749,241.000,184.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
10,21.825,406.347,541.899,409.000,541.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
11,23.680,350.000,150.000,352.000,147.000,0,0,27,400,0.000,0.000
