p5r5,C,2015-02-26

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,6.473,350.000,150.000,472.000,118.000,1,0,13,400,120.127,1.685,0.000,0.000,N/A
1,9.004,293.653,541.899,294.000,543.000,0,0,13,400,0.000,0.000,0.000,0.000,N/A
2,10.800,458.128,181.749,456.000,181.000,0,0,13,400,0.000,0.000,0.000,0.000,N/A
3,15.497,198.850,480.972,199.000,474.000,1,0,13,400,0.974,0.000,0.000,0.000,N/A
4,18.028,531.926,266.917,533.000,263.000,0,0,13,400,0.000,0.000,0.000,0.000,N/A
5,21.584,152.036,378.463,154.000,375.000,0,0,13,400,0.000,0.000,0.000,0.000,N/A
6,24.368,547.964,378.463,546.000,377.000,0,0,13,400,0.000,0.000,0.000,0.000,N/A
7,26.852,168.074,266.917,167.000,264.000,0,0,13,400,0.000,0.000,0.000,0.000,N/A
8,29.560,501.150,480.972,503.000,480.000,0,0,13,400,0.000,0.000,0.000,0.000,N/A
9,32.841,241.872,181.749,244.000,176.000,1,0,13,400,0.131,0.000,0.000,0.000,N/A
10,36.199,406.347,541.899,406.000,539.000,0,0,13,400,0.000,0.000,0.000,0.000,N/A
11,38.764,350.000,150.000,351.000,150.000,0,0,13,400,0.000,0.000
