p5r8,A,2015-02-26

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.445,350.000,150.000,355.000,148.000,0,0,57,400,0.000,0.149,0.000,0.000,N/A
1,1.983,293.653,541.899,298.000,541.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
2,3.414,458.128,181.749,457.000,181.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
3,4.802,198.850,480.972,212.000,472.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
4,6.187,531.926,266.917,518.000,272.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
5,7.495,152.036,378.463,160.000,379.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
6,9.004,547.964,378.463,548.000,377.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
7,12.465,168.074,266.917,166.000,263.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
8,14.200,501.150,480.972,500.000,487.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
9,15.691,241.872,181.749,228.000,177.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
10,16.832,406.347,541.899,406.000,536.000,0,0,57,400,0.000,0.000,0.000,0.000,N/A
11,18.441,350.000,150.000,352.000,147.000,0,0,57,400,0.000,0.000
