something,C,2014-09-05

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.121,350.000,150.000,353.000,149.000,0,0,13,400,0.000,0.395,0.969,0.111,ba
1,2.433,293.653,541.899,293.000,541.000,0,0,13,400,0.000,0.359,0.213,0.116,ab
2,3.763,458.128,181.749,457.000,184.000,0,0,13,400,0.000,0.357,0.652,0.139,ba
3,4.933,198.850,480.972,204.000,479.000,0,0,13,400,0.000,0.331,0.466,0.145,ab
4,6.242,531.926,266.917,532.000,264.000,0,0,13,400,0.000,0.415,0.650,0.129,ba
5,7.388,152.036,378.463,155.000,378.000,0,0,13,400,0.000,0.307,0.356,0.163,ab
6,8.848,547.964,378.463,548.000,379.000,0,0,13,400,0.000,0.367,0.511,0.127,ba
7,10.394,168.074,266.917,167.000,265.000,0,0,13,400,0.000,0.327,0.775,0.119,ab
8,11.830,501.150,480.972,502.000,481.000,0,0,13,400,0.000,0.446,0.699,0.106,ba
9,14.978,241.872,181.749,248.000,182.000,1,0,13,400,0.133,0.402,0.804,0.109,ab
10,16.532,406.347,541.899,410.000,541.000,0,0,13,400,0.000,0.325,0.515,0.133,ba
11,18.119,350.000,150.000,351.000,149.000,0,0,13,400,0.000,0.363
