testBreak ,A,2014-08-29

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.859,350.000,150.000,366.000,144.000,0,0,57,400,0.000,0.052,1.269,0.687,scanner
1,4.331,293.653,541.899,311.000,536.000,0,1,57,400,0.000,0.685,0.874,1.082,microphone
2,7.794,458.128,181.749,453.000,197.000,0,0,57,400,0.000,0.677,0.794,2.673,restaurant
3,12.730,198.850,480.972,202.000,480.000,0,0,57,400,0.000,0.758,0.914,0.946,backpack
4,15.950,531.926,266.917,518.000,261.000,0,0,57,400,0.000,0.819,0.767,0.442,female
5,18.342,152.036,378.463,131.000,375.000,0,0,57,400,0.000,0.610,0.926,1.323,toothpaste
6,21.666,547.964,378.463,555.000,383.000,0,0,57,400,0.000,0.461,0.928,1.647,keyboard
7,25.354,168.074,266.917,171.000,268.000,0,0,57,400,0.000,0.532,0.924,0.481,yahoo
8,27.914,501.150,480.972,526.000,471.000,0,0,57,400,0.000,0.605,0.865,0.500,garbage
9,30.360,241.872,181.749,238.000,169.000,0,0,57,400,0.000,0.566,0.786,2.924,computer
10,35.151,406.347,541.899,423.000,552.000,0,0,57,400,0.000,0.395,0.864,0.190,him
11,37.403,350.000,150.000,347.000,154.000,0,0,57,400,0.000,0.643
